Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1
0,D:/202412051/t1\t1-00000000_0.tif,D:/202412051/t1\t1-00000000_1.tif,4858.756483,4858.778499
1,D:/202412051/t1\t1-00000001_0.tif,D:/202412051/t1\t1-00000001_1.tif,4859.056545,4859.078728
2,D:/202412051/t1\t1-00000002_0.tif,D:/202412051/t1\t1-00000002_1.tif,4859.256705,4859.278452
3,D:/202412051/t1\t1-00000003_0.tif,D:/202412051/t1\t1-00000003_1.tif,4859.506798,4859.528694
4,D:/202412051/t1\t1-00000004_0.tif,D:/202412051/t1\t1-00000004_1.tif,4860.756830,4860.778438
5,D:/202412051/t1\t1-00000005_0.tif,D:/202412051/t1\t1-00000005_1.tif,4861.156604,4861.178667
6,D:/202412051/t1\t1-00000006_0.tif,D:/202412051/t1\t1-00000006_1.tif,416.970260,416.970696
7,D:/202412051/t1\t1-00000007_0.tif,D:/202412051/t1\t1-00000007_1.tif,417.020273,417.020505
8,D:/202412051/t1\t1-00000008_0.tif,D:/202412051/t1\t1-00000008_1.tif,417.120078,417.120396
9,D:/202412051/t1\t1-00000009_0.tif,D:/202412051/t1\t1-00000009_1.tif,417.220073,417.220562
10,D:/202412051/t1\t1-00000010_0.tif,D:/202412051/t1\t1-00000010_1.tif,417.320333,417.320514
11,D:/202412051/t1\t1-00000011_0.tif,D:/202412051/t1\t1-00000011_1.tif,417.420205,417.420654
12,D:/202412051/t1\t1-00000012_0.tif,D:/202412051/t1\t1-00000012_1.tif,417.520294,417.520838
13,D:/202412051/t1\t1-00000013_0.tif,D:/202412051/t1\t1-00000013_1.tif,417.620226,417.620751
14,D:/202412051/t1\t1-00000014_0.tif,D:/202412051/t1\t1-00000014_1.tif,417.720139,417.720812
15,D:/202412051/t1\t1-00000015_0.tif,D:/202412051/t1\t1-00000015_1.tif,417.820241,417.820772
16,D:/202412051/t1\t1-00000016_0.tif,D:/202412051/t1\t1-00000016_1.tif,417.920128,417.920602
17,D:/202412051/t1\t1-00000017_0.tif,D:/202412051/t1\t1-00000017_1.tif,418.020274,418.020704
18,D:/202412051/t1\t1-00000018_0.tif,D:/202412051/t1\t1-00000018_1.tif,418.120005,418.120396
